platform	month	eq. cross. time	node
AVN10	1990-04-01	19:26:19.646221	ascending
AVN10	1990-05-01	19:25:20.987407	ascending
AVN10	1990-06-01	19:24:24.388863	ascending
AVN10	1990-07-01	19:23:24.042039	ascending
AVN10	1990-08-01	19:22:23.257359	ascending
AVN10	1990-09-01	19:21:22.333184	ascending
AVN10	1990-10-01	19:20:21.095769	ascending
AVN10	1990-11-01	19:19:13.484360	ascending
AVN10	1990-12-01	19:18:01.567417	ascending
AVN10	1991-01-01	19:16:51.603198	ascending
AVN10	1991-02-01	19:15:36.513100	ascending
AVN10	1991-03-01	19:14:28.453497	ascending
AVN10	1991-04-01	19:13:10.705773	ascending
AVN10	1991-05-01	19:11:53.566027	ascending
AVN10	1991-06-01	19:10:32.004424	ascending
AVN10	1991-07-01	19:09:11.379215	ascending
AVN10	1991-08-01	19:07:49.743040	ascending
AVN10	1991-09-01	19:06:29.013353	ascending
AVN11	1988-11-01	01:39:40.132912	descending
AVN11	1988-12-01	01:40:20.935893	descending
AVN11	1989-03-01	01:43:08.075127	descending
AVN11	1989-08-01	01:48:38.477660	descending
AVN11	1989-09-01	01:49:56.908123	descending
AVN11	1989-10-01	01:51:25.531841	descending
AVN11	1990-02-01	01:57:23.295055	descending
AVN11	1990-03-01	01:58:53.713857	descending
AVN11	1990-06-01	02:04:16.849375	descending
AVN11	1990-07-01	02:06:08.776299	descending
AVN11	1990-09-01	02:09:44.723178	descending
AVN11	1990-10-01	02:11:55.758953	descending
AVN11	1990-12-01	02:16:04.401639	descending
AVN11	1991-02-01	02:20:46.151020	descending
AVN11	1991-03-01	02:23:06.407392	descending
AVN11	1991-08-01	02:35:58.288641	descending
AVN11	1991-09-01	02:38:32.453307	descending
AVN11	1991-10-01	02:41:19.400503	descending
AVN11	1991-11-01	02:44:30.681587	descending
AVN11	1992-01-01	02:50:15.371629	descending
AVN11	1992-03-01	02:56:39.139356	descending
AVN11	1992-05-01	03:03:06.356794	descending
AVN11	1992-06-01	03:06:29.146661	descending
AVN11	1992-08-01	03:13:44.072715	descending
AVN11	1992-09-01	03:17:08.760824	descending
AVN11	1992-11-01	03:24:26.720660	descending
AVN11	1992-12-01	03:28:18.377201	descending
AVN11	1993-02-01	03:35:44.534991	descending
AVN11	1993-05-01	03:47:42.027602	descending
AVN11	1993-08-01	04:00:19.950152	descending
AVN11	1993-09-01	04:04:37.613367	descending
AVN11	1993-11-01	04:13:00.700125	descending
AVN11	1993-12-01	04:17:35.954491	descending
AVN11	1994-03-01	04:30:38.051707	descending
AVN11	1994-06-01	04:44:55.402456	descending
AVN11	1994-10-01	05:04:07.529571	descending
AVN12	1991-09-01	19:31:30.316716	ascending
