platform	month	eq. cross. time	node
NOAA9	1987-05-01	15:11:27.048871	ascending
NOAA9	1987-06-01	15:14:17.835805	ascending
NOAA9	1987-07-01	15:16:57.272120	ascending
NOAA9	1987-08-01	15:19:50.041380	ascending
NOAA9	1987-09-01	15:22:43.260278	ascending
NOAA9	1987-10-01	15:25:43.024794	ascending
NOAA9	1987-11-01	15:28:46.199582	ascending
NOAA9	1987-12-01	15:31:38.420571	ascending
NOAA9	1988-01-01	15:34:39.484847	ascending
NOAA9	1988-02-01	15:38:08.903663	ascending
NOAA9	1988-03-01	15:41:13.506755	ascending
NOAA9	1988-04-01	15:44:33.929113	ascending
NOAA9	1988-05-01	15:47:56.172653	ascending
NOAA9	1988-06-01	15:51:24.775658	ascending
NOAA9	1988-07-01	15:54:50.001266	ascending
NOAA9	1988-08-01	15:58:16.882766	ascending
NOAA9	1988-09-01	16:02:02.033090	ascending
NOAA9	1988-10-01	16:05:33.463622	ascending
NOAA9	1988-11-01	16:09:24.831186	ascending
NOAA10	1986-11-01	19:30:42.030282	ascending
NOAA10	1986-12-01	19:31:27.693316	ascending
NOAA10	1987-01-01	19:32:10.811046	ascending
NOAA10	1987-02-01	19:32:48.347127	ascending
NOAA10	1987-03-01	19:33:24.609212	ascending
NOAA10	1987-04-01	19:33:54.552134	ascending
NOAA10	1987-05-01	19:34:24.573829	ascending
NOAA10	1987-06-01	19:35:17.223969	ascending
NOAA10	1987-07-01	19:35:17.303141	ascending
NOAA10	1987-08-01	19:35:47.933243	ascending
NOAA10	1987-09-01	19:36:14.308853	ascending
NOAA10	1987-10-01	19:36:41.007317	ascending
NOAA10	1987-11-01	19:36:53.138950	ascending
NOAA10	1987-12-01	19:37:02.199614	ascending
NOAA10	1988-01-01	19:37:10.623984	ascending
NOAA10	1988-02-01	19:37:16.131615	ascending
NOAA10	1988-03-01	19:37:20.742899	ascending
NOAA10	1988-04-01	19:37:22.801668	ascending
NOAA10	1988-05-01	19:37:23.770182	ascending
NOAA10	1988-06-01	19:37:16.140745	ascending
NOAA10	1988-07-01	19:37:08.646526	ascending
NOAA10	1988-08-01	19:36:58.723635	ascending
NOAA10	1988-09-01	19:36:52.449531	ascending
NOAA10	1988-10-01	19:36:39.066699	ascending
NOAA10	1988-11-01	19:36:27.983124	ascending
NOAA10	1988-12-01	19:36:06.884849	ascending
NOAA10	1989-01-01	19:35:39.798579	ascending
NOAA10	1989-02-01	19:35:17.223560	ascending
NOAA10	1989-03-01	19:34:55.495983	ascending
NOAA10	1989-04-01	19:34:24.055853	ascending
NOAA10	1989-05-01	19:33:56.465974	ascending
NOAA10	1989-06-01	19:33:25.362732	ascending
NOAA10	1989-07-01	19:32:52.484616	ascending
NOAA10	1989-08-01	19:32:13.296383	ascending
NOAA10	1989-09-01	19:31:37.650094	ascending
NOAA10	1989-10-01	19:30:57.483092	ascending
NOAA10	1989-11-01	19:30:17.582301	ascending
NOAA10	1989-12-01	19:29:33.616967	ascending
NOAA10	1990-01-01	19:28:47.501844	ascending
NOAA10	1990-02-01	19:27:54.502607	ascending
NOAA10	1990-03-01	19:27:08.542372	ascending
NOAA10	1990-04-01	19:26:19.646221	ascending
NOAA10	1990-05-01	19:25:20.987407	ascending
NOAA10	1990-06-01	19:24:24.388863	ascending
NOAA10	1990-07-01	19:23:24.042039	ascending
NOAA10	1990-08-01	19:22:23.257359	ascending
NOAA10	1990-09-01	19:21:22.333184	ascending
NOAA10	1990-10-01	19:20:21.095769	ascending
NOAA10	1990-11-01	19:19:13.484360	ascending
NOAA10	1990-12-01	19:18:01.567417	ascending
NOAA10	1991-01-01	19:16:51.603198	ascending
NOAA10	1991-02-01	19:15:36.513100	ascending
NOAA10	1991-03-01	19:14:28.453497	ascending
NOAA10	1991-04-01	19:13:10.705773	ascending
NOAA10	1991-05-01	19:11:53.566027	ascending
NOAA10	1991-06-01	19:10:32.004424	ascending
NOAA10	1991-07-01	19:09:11.379215	ascending
NOAA10	1991-08-01	19:07:49.743040	ascending
NOAA10	1991-09-01	19:06:29.013353	ascending
NOAA11	1988-11-01	13:39:53.756264	ascending
NOAA11	1988-12-01	13:40:40.259548	ascending
NOAA11	1989-01-01	13:41:23.158439	ascending
NOAA11	1989-02-01	13:42:33.318108	ascending
NOAA11	1989-03-01	13:43:18.104274	ascending
NOAA11	1989-04-01	13:44:17.971676	ascending
NOAA11	1989-05-01	13:45:23.251826	ascending
NOAA11	1989-06-01	13:46:28.052115	ascending
NOAA11	1989-07-01	13:47:39.386174	ascending
NOAA11	1989-08-01	13:48:57.792313	ascending
NOAA11	1989-09-01	13:50:09.805645	ascending
NOAA11	1989-10-01	13:51:25.655190	ascending
NOAA11	1989-11-01	13:52:49.588921	ascending
NOAA11	1989-12-01	13:54:16.351092	ascending
NOAA11	1990-01-01	13:55:49.848290	ascending
NOAA11	1990-02-01	13:57:24.510031	ascending
NOAA11	1990-03-01	13:58:55.421991	ascending
NOAA11	1990-04-01	14:00:44.164118	ascending
NOAA11	1990-05-01	14:02:25.444227	ascending
NOAA11	1990-06-01	14:04:21.134286	ascending
NOAA11	1990-07-01	14:06:08.851331	ascending
NOAA11	1990-08-01	14:08:05.629145	ascending
NOAA11	1990-09-01	14:10:04.097090	ascending
NOAA11	1990-10-01	14:12:02.830107	ascending
NOAA11	1990-11-01	14:14:10.523532	ascending
NOAA11	1990-12-01	14:16:15.038929	ascending
NOAA11	1991-01-01	14:18:35.764566	ascending
NOAA11	1991-02-01	14:20:55.409583	ascending
NOAA11	1991-03-01	14:23:05.787215	ascending
NOAA11	1991-04-01	14:25:36.036326	ascending
NOAA11	1991-05-01	14:28:05.586885	ascending
NOAA11	1991-06-01	14:30:47.889058	ascending
NOAA11	1991-07-01	14:33:21.131938	ascending
NOAA11	1991-08-01	14:36:02.726074	ascending
NOAA11	1991-09-01	14:38:51.104804	ascending
NOAA11	1991-10-01	14:41:35.348732	ascending
NOAA11	1991-11-01	14:44:32.122706	ascending
NOAA11	1991-12-01	14:47:30.485188	ascending
NOAA11	1992-01-01	14:50:31.679435	ascending
NOAA11	1992-02-01	14:53:41.875269	ascending
NOAA11	1992-03-01	14:56:43.465931	ascending
NOAA11	1992-04-01	15:00:01.802650	ascending
NOAA11	1992-05-01	15:03:19.516459	ascending
NOAA11	1992-06-01	15:06:48.320752	ascending
NOAA11	1992-07-01	15:10:11.774150	ascending
NOAA11	1992-08-01	15:13:43.374575	ascending
NOAA11	1992-09-01	15:17:19.690779	ascending
NOAA11	1992-10-01	15:20:51.371756	ascending
NOAA11	1992-11-01	15:24:36.065506	ascending
NOAA11	1992-12-01	15:28:17.397085	ascending
NOAA11	1993-01-01	15:32:09.047141	ascending
NOAA11	1993-02-01	15:36:04.006564	ascending
NOAA11	1993-03-01	15:39:40.938021	ascending
NOAA11	1993-04-01	15:43:45.888939	ascending
NOAA11	1993-05-01	15:47:46.091610	ascending
NOAA11	1993-06-01	15:51:58.559827	ascending
NOAA11	1993-07-01	15:56:00.226110	ascending
NOAA11	1993-08-01	16:00:21.676888	ascending
NOAA11	1993-09-01	16:04:39.464394	ascending
NOAA11	1993-10-01	16:08:55.355148	ascending
NOAA11	1993-11-01	16:13:18.362220	ascending
NOAA11	1993-12-01	16:17:40.157836	ascending
NOAA11	1994-01-01	16:22:11.361422	ascending
NOAA11	1994-02-01	16:26:46.589477	ascending
NOAA11	1994-03-01	16:30:57.219962	ascending
NOAA11	1994-04-01	16:35:40.516847	ascending
NOAA11	1994-05-01	16:40:17.750372	ascending
NOAA11	1994-06-01	16:45:05.166138	ascending
NOAA11	1994-07-01	16:49:44.630801	ascending
NOAA11	1994-08-01	16:54:35.203943	ascending
NOAA11	1994-09-01	16:59:28.655537	ascending
NOAA11	1994-10-01	17:04:14.125598	ascending
NOAA12	1991-09-01	19:31:30.316716	ascending
NOAA12	1991-10-01	19:31:53.358133	ascending
NOAA12	1991-11-01	19:32:15.019178	ascending
NOAA12	1991-12-01	19:32:32.529045	ascending
NOAA12	1992-01-01	19:32:47.728810	ascending
NOAA12	1992-02-01	19:33:01.354963	ascending
NOAA12	1992-03-01	19:33:12.013528	ascending
NOAA12	1992-04-01	19:33:22.965568	ascending
